-1	Data:		X-Ray Emission Energies [eV]												Element rjump [??]		Element Absorption Edge Coefficients [eV] (Edge)												Coster-Kronig Coefficients(CK)			Fluorescence Yields (Omega)		
-1	Source:		"Handbook of Chemistry and Physics, 63rd Ed., CRC Press"												??		"Handbook of Chemistry and Physics, 63rd Ed., CRC Press."												"Krause J. Phys. Chem. Ref. Data Vol. 8, No. 2, 1979	p. 307."			"Krause J. Phys. Chem. Ref. Data Vol. 8, No. 2, 1979	p. 307."		
-1			K		L1			L2 		L3		M3	M4	M5																				
0	Element	Mass	Kb	Ka	Lg2	Lb3	Lb4	Lg1	Lb1	Lb2	La1	Mg	Mb	Ma	rjump1	rjump4	K	L1	L2	L3	M1	M2	M3	M4	M5	N1	N2	N3	c12	c13	c23	l1	l2	l3
82	Pb	207.19	-1	-1	15159	12793	12306	14764	12614	12612	10552	2653	2443	2346	5.6	2.394	-1	15861	15200	13035	3851	3554	3066	2586	2484	894	764	645	0.12	0.58	0.116	0.112	0.373	0.36
83	Bi	208.98	-1	-1	15646	13210	12691	15248	13024	12963	10839	2735	2526	2423	4.5	2.36	-1	16388	15711	13419	3999	3696	3177	2688	2580	938	805	679	0.11	0.58	0.113	0.117	0.387	0.373
84	Po	210	-1	-1	16144	13638	13086	15744	13447	13327	11131	2819	2611	2501	4.2	2.2	-1	16939	16244	13814	4149	3854	3302	2798	2683	995	851	705	0.11	0.58	0.111	0.122	0.401	0.386
85	At	210	-1	-1	16653	14067	13482	16251	13876	13698	11427	2906	2695	2580	4.2	2.2	-1	17493	16785	14214	4317	4008	3426	2909	2787	1042	886	740	0.1	0.59	0.111	0.128	0.415	0.399
86	Rn	222	-1	-1	17173	14512	13989	16770	14316	14066	11727	2994	2781	2659	4.2	2.2	-1	18049	17337	14619	4482	4159	3538	3022	2892	1097	929	768	0.1	0.58	0.11	0.134	0.429	0.411
87	Fr	223	-1	-1	17704	14976	14307	17300	14770	14441	12031	3085	2871	2741	4.2	2.2	-1	18639	17907	15031	4652	4327	3663	3136	3000	1153	980	810	0.1	0.58	0.109	0.139	0.443	0.424
88	Ra	226	-1	-1	18268	15445	14747	17849	15236	14825	12340	3178	2961	2824	4.2	2.2	-1	19237	18484	15444	4822	4490	3792	3248	3105	1208	1058	879	0.09	0.58	0.108	0.146	0.456	0.437
89	Ac	227	-1	-1	18830	15931	15198	18408	15713	15224	12652	3274	3053	2909	4.2	2.2	-1	19840	19083	15871	5002	4656	3909	3370	3219	1269	1080	890	0.09	0.58	0.108	0.153	0.468	0.45
90	Th	232.04	-1	-1	19406	16426	15643	18983	16202	15606	12969	3370	3146	2996	4.2	1.94	-1	20472	19693	16300	5182	4830	4046	3491	3332	1330	1168	967	0.09	0.57	0.108	0.161	0.479	0.463
91	Pa	231	-1	-1	19985	16930	16104	19568	16702	16003	13291	3466	3240	3082	4.2	2	-1	21105	20314	16733	5367	5001	4174	3611	3442	1387	1224	1007	0.08	0.58	0.139	0.162	0.472	0.476
92	U	238.03	-1	-1	20599	17455	16575	20167	17220	16407	13615	3563	3337	3171	4.2	2.069	-1	21757	20948	17166	5548	5182	4303	3728	3552	1441	1273	1045	0.08	0.57	0.167	0.176	0.467	0.489
